,train_rmse,train_mae,train_r2,cv_rmse
lightgbm,0.09055861957506924,0.04847922854083927,0.584064606651522,0.10558930288348536
gradient_boosting,0.10140473821637894,0.0533209902209636,0.4784658077106515,0.1057094155511558
xgboost,0.08411861731930168,0.046316971386306714,0.6411189383921958,0.10641124342628992
linear,0.10646138454106871,0.05609008509434841,0.42515532874901674,0.1065905876649178
random_forest,0.04092584864865452,0.0228268589253585,0.9150503336136145,0.10940697659127213
svr,0.0958943011412561,0.06369592156859961,0.533607146744714,0.1151013269177094
knn,0.09793236951001569,0.060538282353139995,0.5135717210350528,0.12057216939002156
